laila.rasheed@test.com,Passw0rd,1
chris.doe@abc.com,Passw0rd,1
abc@test.com,Passw0rd,1
donbosco@school.com,Passw0rd,1
iiyama@laptop.com,Passw0rd,1
prolite@test.com,Passw0rd,1
dolphin_nose@fish.com,Passw0rd,1
firefox@browser.com,Passw0rd,1
caleb.guy@test.com,Passw0rd,1
motorola@phone.com,Passw0rd,1
sony.ericsson@phone.com,Passw0rd,1
fannie.may@bank.com,Passw0rd,1
assessor.journey@ifs.com,Passw0rd,1
mac.book@laptop.com,Passw0rd,1
dicaprio@actor.com,Passw0rd,1
izzy.purple@rainbow.com,Passw0rd,1
amber.orange@rainbow.com,Passw0rd,1
sky.blue@book.com,Passw0rd,1
fern.green@rainbow.com,Passw0rd,1
ruby.red@rainbow.com,Passw0rd,1
